anio;provincia;distrito;ugel;nivel_agrupado;gestion;area;total_estudiantes;mujeres;hombres;retirados;total_atraso
2024;CONCEPCION;MARISCAL CASTILLA;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;121;57;64;0;15
2024;SATIPO;SATIPO;UGEL SATIPO;Primaria;Privada;Urbana;1216;580;636;2;12
2024;SATIPO;SATIPO;UGEL SATIPO;Inicial;Privada;Urbana;593;278;315;10;0
2024;JAUJA;JANJAILLO;UGEL JAUJA;Secundaria;Pública de gestión directa;Rural;37;20;17;2;2
2024;SATIPO;PANGOA;UGEL PANGOA;Primaria;Privada;Urbana;923;457;466;0;12
2024;SATIPO;RIO NEGRO;UGEL SATIPO;Inicial;Pública de gestión directa;Rural;925;460;465;1;0
2024;SATIPO;SATIPO;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;827;373;454;5;129
2024;SATIPO;LLAYLLA;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;384;185;199;0;36
2024;HUANCAYO;CARHUACALLANGA;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;5;4;1;0;0
2024;HUANCAYO;CHICCHE;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;26;15;11;0;0
2024;CONCEPCION;MARISCAL CASTILLA;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;94;43;51;0;0
2024;CONCEPCION;COCHAS;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;102;47;55;0;0
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Inicial;Pública de gestión directa;Rural;1275;647;628;6;0
2024;CHANCHAMAYO;PERENE;UGEL CHANCHAMAYO;Inicial;Privada;Urbana;29;14;15;0;0
2024;CHANCHAMAYO;PERENE;UGEL CHANCHAMAYO;Secundaria;Privada;Rural;50;26;24;2;1
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Primaria;Pública de gestión directa;Urbana;2127;1065;1062;1;41
2024;CHANCHAMAYO;VITOC;UGEL CHANCHAMAYO;Secundaria;Pública de gestión directa;Rural;89;47;42;0;9
2024;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Inicial;Privada;Urbana;4255;2092;2163;22;0
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Secundaria;Privada;Urbana;2423;1133;1290;8;34
2024;HUANCAYO;INGENIO;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;139;64;75;0;18
2024;CHUPACA;CHUPACA;UGEL CHUPACA;Secundaria;Pública de gestión directa;Rural;198;108;90;1;6
2024;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Secundaria;Pública de gestión privada;Urbana;686;0;686;0;2
2024;JAUJA;MASMA CHICCHE;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;32;12;20;0;0
2024;HUANCAYO;CHUPURO;UGEL HUANCAYO;Secundaria;Pública de gestión directa;Urbana;94;46;48;3;4
2024;HUANCAYO;CHICCHE;UGEL CONCEPCIÓN;Primaria;Pública de gestión directa;Rural;3;2;1;0;0
2024;SATIPO;PANGOA;UGEL PANGOA;Secundaria;Privada;Urbana;740;324;416;1;28
2024;SATIPO;MAZAMARI;UGEL SATIPO;Secundaria;Pública de gestión directa;Rural;843;398;445;0;146
2024;SATIPO;RIO TAMBO;UGEL RIO TAMBO;Inicial;Pública de gestión directa;Urbana;23;11;12;0;0
2024;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Secundaria;Pública de gestión privada;Urbana;195;195;0;0;3
2024;SATIPO;RIO TAMBO;UGEL RIO TAMBO;Primaria;Pública de gestión directa;Urbana;165;79;86;5;12
2024;HUANCAYO;HUACRAPUQUIO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;65;32;33;0;0
2024;YAULI;LA OROYA;UGEL YAULI;Inicial;Pública de gestión directa;Urbana;438;218;220;0;0
2024;JAUJA;JANJAILLO;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;8;3;5;0;0
2024;JAUJA;YAUYOS;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;9;5;4;1;0
2024;YAULI;MOROCOCHA;UGEL YAULI;Inicial;Pública de gestión directa;Urbana;130;70;60;0;0
2024;HUANCAYO;CHACAPAMPA;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;20;8;12;0;0
2024;CONCEPCION;MITO;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;67;33;34;0;8
2024;JAUJA;MOLINOS;UGEL JAUJA;Secundaria;Pública de gestión directa;Rural;77;43;34;4;6
2024;CONCEPCION;HEROINAS TOLEDO;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;61;29;32;0;4
2024;YAULI;PACCHA;UGEL YAULI;Secundaria;Pública de gestión directa;Rural;47;22;25;0;1
2024;CHUPACA;CHUPACA;UGEL CHUPACA;Secundaria;Privada;Urbana;1209;562;647;6;19
2024;JAUJA;MASMA;UGEL CHANCHAMAYO;Inicial;Pública de gestión directa;Rural;31;14;17;0;0
2024;JAUJA;MONOBAMBA;UGEL CHANCHAMAYO;Inicial;Pública de gestión directa;Rural;81;39;42;0;0
2024;SATIPO;RIO NEGRO;UGEL SATIPO;Inicial;Pública de gestión directa;Urbana;164;75;89;1;0
2024;SATIPO;PANGOA;UGEL RIO ENE-MANTARO;Inicial;Pública de gestión directa;Rural;333;160;173;1;0
2024;SATIPO;PAMPA HERMOSA;UGEL SATIPO;Inicial;Pública de gestión directa;Rural;166;69;97;4;0
2024;CONCEPCION;ORCOTUNA;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;58;27;31;0;0
2024;HUANCAYO;SAPALLANGA;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;16;11;5;0;0
2024;HUANCAYO;HUANCAN;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;45;24;21;0;3
2024;HUANCAYO;CULLHUAS;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;44;27;17;0;0
2024;CHUPACA;CHONGOS BAJO;UGEL CHUPACA;Inicial;Pública de gestión directa;Rural;36;22;14;0;0
2024;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Primaria;Privada;Urbana;785;353;432;4;2
2024;CHANCHAMAYO;SAN RAMON;UGEL CHANCHAMAYO;Inicial;Pública de gestión directa;Rural;243;121;122;0;0
2024;JAUJA;MASMA;UGEL CHANCHAMAYO;Secundaria;Pública de gestión directa;Rural;58;27;31;0;5
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Secundaria;Pública de gestión directa;Urbana;1804;921;883;1;158
2024;SATIPO;RIO NEGRO;UGEL RIO TAMBO;Primaria;Pública de gestión directa;Rural;51;29;22;1;10
2024;SATIPO;RIO TAMBO;UGEL RIO TAMBO;Secundaria;Pública de gestión directa;Rural;2952;1458;1494;38;681
2024;SATIPO;MAZAMARI;UGEL SATIPO;Inicial;Pública de gestión directa;Rural;629;289;340;0;0
2024;TARMA;HUARICOLCA;UGEL TARMA;Secundaria;Pública de gestión directa;Rural;148;84;64;3;9
2024;TARMA;TAPO;UGEL TARMA;Secundaria;Pública de gestión directa;Rural;396;200;196;0;62
2024;TARMA;ACOBAMBA;UGEL TARMA;Secundaria;Pública de gestión directa;Rural;192;94;98;1;23
2024;JAUJA;MASMA CHICCHE;UGEL JAUJA;Secundaria;Pública de gestión directa;Rural;75;35;40;0;1
2024;JAUJA;PACA;UGEL JAUJA;Secundaria;Pública de gestión directa;Rural;39;12;27;0;2
2024;JAUJA;SAN LORENZO;UGEL JAUJA;Secundaria;Pública de gestión directa;Urbana;213;96;117;0;5
2024;JAUJA;CURICACA;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;60;30;30;0;0
2024;JAUJA;CURICACA;UGEL JAUJA;Secundaria;Pública de gestión directa;Rural;68;28;40;0;1
2024;JAUJA;SAUSA;UGEL JAUJA;Secundaria;Pública de gestión directa;Urbana;87;39;48;5;7
2024;TARMA;ACOBAMBA;UGEL TARMA;Inicial;Pública de gestión directa;Rural;244;122;122;0;0
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Inicial;Privada;Urbana;542;296;246;3;0
2024;CHUPACA;YANACANCHA;UGEL CHUPACA;Inicial;Pública de gestión directa;Rural;124;61;63;0;0
2024;YAULI;LA OROYA;UGEL YAULI;Inicial;Pública de gestión directa;Rural;64;25;39;0;0
2024;YAULI;SUITUCANCHA;UGEL YAULI;Secundaria;Pública de gestión directa;Rural;94;48;46;0;5
2024;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;12;8;4;0;0
2024;HUANCAYO;QUICHUAY;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;24;11;13;0;0
2024;HUANCAYO;QUILCAS;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;42;22;20;0;0
