anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1437102-0;1437102;0;FRANCISCO CARLE CASSET;Privada;F0;Secundaria;Secundaria;7;4;3;0;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437110-0;1437110;0;SIGMA;Privada;F0;Secundaria;Secundaria;94;36;58;0;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437128-0;1437128;0;SAN FRANCESCO BERNARDONE;Privada;B0;Primaria;Primaria;5;3;2;0;0;JUNIN;JAUJA;SAUSA;UGEL JAUJA;Urbana
2024;1437136-0;1437136;0;JESUS DE NAZARETH;Pública de gestión directa;A2;Inicial - Jardín;Inicial;8;4;4;0;0;JUNIN;JAUJA;POMACANCHA;UGEL JAUJA;Rural
2024;1437151-0;1437151;0;PITAGORAS;Privada;A2;Inicial - Jardín;Inicial;52;23;29;1;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437169-0;1437169;0;CARLOS TOMAS OTERO HART;Pública de gestión directa;F0;Secundaria;Secundaria;51;24;27;5;2;JUNIN;JAUJA;POMACANCHA;UGEL JAUJA;Rural
2024;1437177-0;1437177;0;FRANCISCO CARLE CASSET;Privada;A2;Inicial - Jardín;Inicial;14;5;9;1;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437185-0;1437185;0;HUELLITAS DE LAS AMERICAS;Privada;A2;Inicial - Jardín;Inicial;25;10;15;0;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437201-0;1437201;0;JAUJA - INNOVA;Privada;A2;Inicial - Jardín;Inicial;30;14;16;0;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1437219-0;1437219;0;JAUJA - INNOVA;Privada;F0;Secundaria;Secundaria;94;34;60;1;0;JUNIN;JAUJA;JAUJA;UGEL JAUJA;Urbana
2024;1438589-0;1438589;0;SAN FRANCISCO DE CARHUAMAYO;Privada;F0;Secundaria;Secundaria;96;56;40;0;2;JUNIN;JUNIN;CARHUAMAYO;UGEL JUNÍN;Urbana
2024;1438605-0;1438605;0;HEROES DEL CENEPA;Pública de gestión directa;F0;Secundaria;Secundaria;33;14;19;0;3;JUNIN;JUNIN;ULCUMAYO;UGEL JUNÍN;Rural
2024;1438613-0;1438613;0;31601 SAN IGNACIO DE LOYOLA;Pública de gestión directa;B0;Primaria;Primaria;97;59;38;0;0;JUNIN;JUNIN;JUNIN;UGEL JUNÍN;Urbana
2024;1438738-0;1438738;0;30864-1;Pública de gestión directa;B0;Primaria;Primaria;2;0;2;0;0;JUNIN;CHANCHAMAYO;CHANCHAMAYO;UGEL CHANCHAMAYO;Rural
2024;1439074-0;1439074;0;31497;Pública de gestión directa;F0;Secundaria;Secundaria;57;30;27;0;14;JUNIN;CHANCHAMAYO;PERENE;UGEL CHANCHAMAYO;Rural
2024;1439264-0;1439264;0;ALDEA DEL NIÑO BEATO JUNIPERO SERRA;Pública de gestión privada;B0;Primaria;Primaria;344;161;183;0;0;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
2024;1439272-0;1439272;0;ALDEA DEL NIÑO BEATO JUNIPERO SERRA;Pública de gestión privada;F0;Secundaria;Secundaria;376;207;169;0;3;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
2024;1439280-0;1439280;0;ALDEA DEL NIÑO BEATO JUNIPERO SERRA;Pública de gestión privada;A2;Inicial - Jardín;Inicial;150;84;66;0;0;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
